AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Reviews,Mac,Linux,Metacritic score,Positive,Negative,Score rank,Recommendations,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres_x,rating,owners_min,owners_max,year,ID,Title,ReleaseDate,Rating,Genres_y,Platforms,Metascore,Userscore,Developer,Publisher
416790,the metronomicon: slay the dance floor,2016-09-29,20000 - 50000,1,0,4.99,0,[],True,True,False,0,330,65,32,183,0,237,0,Puuba,Akupara Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play Together,Family Sharing",0.0,20000,50000,2016,3857.0,the metronomicon: slay the dance floor,2016-09-29,T,Rhythm,"PC,PlayStation 4",79.0,73.0,puuba,"kasedo games,akupara games"
1110050,evan's remains,2020-06-11,200000 - 500000,2,0,1.39,0,[],True,True,False,0,1637,230,17,205,0,250,0,maitan69,Whitethorn Games,"Single-player,Steam Achievements,Full controller support,Camera Comfort,Playable without Timed Input,Family Sharing",0.0,200000,500000,2020,5672.0,evan's remains,2020-06-11,Unknown,2D Platformer,"Nintendo Switch,PC,PlayStation 4",75.0,67.0,matias schmied,whitethorn digital
715560,eastshade,2019-02-13,100000 - 200000,3,0,9.99,0,"['English', 'Simplified Chinese']",True,False,False,0,4608,549,18,320,0,151,0,Eastshade Studios,Eastshade Studios,"Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing",0.0,100000,200000,2019,4341.0,eastshade,2019-02-13,Unknown,First-Person Adventure,PC,78.0,79.0,eastshade studios,eastshade studios
259190,alone in the dark: the new nightmare,2013-10-29,20000 - 50000,1,17,1.74,75,['English'],True,False,False,0,437,185,0,127,0,184,0,"Darkworks,Spiral House",THQ Nordic,"Single-player,Family Sharing",0.0,20000,50000,2013,9583.0,alone in the dark: the new nightmare,2001-06-25,M,Survival,"Dreamcast,PlayStation,PC",66.0,74.0,spiral house,"infogrames,atari sa,cyberfront,sold out software"
1272080,payday 3,2023-09-21,2000000 - 5000000,644,17,14.99,50,"['English', 'Turkish']",True,False,False,0,25497,33195,22,1421,172,721,194,Starbreeze Studios,Starbreeze Entertainment,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Subtitle Options,Surround Sound,Partial Controller Support,Steam Cloud,Family Sharing",0.0,2000000,5000000,2023,9695.0,payday 3,2023-09-21,M,FPS,"PC,Xbox Series X,PlayStation 5",66.0,33.0,starbreeze,"deep silver,plaion"
260730,desperados: wanted dead or alive,2013-11-20,200000 - 500000,20,0,1.24,75,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",True,True,True,0,1958,268,0,421,0,237,0,Spellbound,THQ Nordic,"Single-player,Family Sharing",0.0,200000,500000,2013,4334.0,desperados: wanted dead or alive,2001-07-23,T,Strategy,PC,78.0,86.0,spellbound,"infogrames,nordic games publishing,sold out software,moving editora"
1889930,baldur's gate: dark alliance ii,2022-07-20,0 - 20000,7,0,27.99,30,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",True,True,True,0,476,111,26,149,0,149,0,"Square One Games Inc.,Black Isle Studios",Interplay Entertainment Corp.,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing",0.0,0,20000,2022,3944.0,baldur's gate: dark alliance ii,2004-01-20,T,Action RPG,"PlayStation 2,Xbox,Nintendo Switch,PC",78.0,80.0,black isle studios,"interplay,avalon interactive"
1832040,flintlock: the siege of dawn,2024-07-17,20000 - 50000,16,17,9.99,75,"['English', 'Portuguese - Brazil']",True,False,False,0,837,267,38,309,0,539,0,A44 Games,Kepler Interactive,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Family Sharing",0.0,20000,50000,2024,7992.0,flintlock: the siege of dawn,2024-07-17,M,Action RPG,"PC,PlayStation 5,Xbox Series X",70.0,48.0,a44,kepler interactive
1430220,biomorph,2024-04-05,20000 - 50000,4,0,12.99,35,[],True,False,False,0,520,42,30,641,0,641,0,Lucid Dreams Studio,Lucid Dreams Studio,"Single-player,Steam Achievements,Full controller support,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Stereo Sound,Steam Cloud,Family Sharing",0.0,20000,50000,2024,6712.0,biomorph,2024-04-05,Unknown,Metroidvania,"PC,Nintendo Switch",73.0,72.0,lucid dreams studio,lucid dreams studio
1147860,ufo 50,2024-09-18,100000 - 200000,163,0,18.74,25,[],True,False,False,0,5982,267,30,549,9,230,9,Mossmouth,Mossmouth,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together,Family Sharing",0.0,100000,200000,2024,229.0,ufo 50,2024-09-18,Unknown,Party,"PC,Nintendo Switch",91.0,75.0,mossmouth,mossmouth
1281040,baby steps,2025-09-23,0 - 20000,0,0,12.99,0,[],True,False,False,0,0,0,13,290,27,231,45,"Gabe Cuzzillo,Maxi Boch,Bennett Foddy",Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",,0,20000,2025,4831.0,baby steps,2025-09-23,Unknown,3D Platformer,"PlayStation 5,PC",77.0,55.0,"bennett foddy,gabe cuzzillo",devolver digital
865610,tails noir,2021-06-08,1000000 - 2000000,2,0,4.99,80,"['English', 'Simplified Chinese']",True,True,False,0,2072,1021,26,396,0,342,0,Eggnut,Raw Fury,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,1000000,2000000,2021,7042.0,tails noir,2021-06-08,M,Adventure,"PC,PlayStation 5",72.0,67.0,eggnut,raw fury
913060,jet lancer,2020-05-12,50000 - 100000,3,0,2.99,0,[],True,True,False,0,1009,82,42,153,0,179,0,Code Wakers,Armor Games Studios,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",0.0,50000,100000,2020,2562.0,jet lancer,2020-05-12,T,Vertical Shoot-'Em-Up,Nintendo Switch,81.0,69.0,vladimir fedyushkin,armor games
45770,dead rising 2: off the record,2011-10-11,200000 - 500000,25,17,4.99,75,"['English', 'Korean']",True,False,False,0,3024,884,50,562,0,244,0,Capcom Vancouver,Capcom,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",0.0,200000,500000,2011,7365.0,dead rising 2: off the record,2011-10-11,M,Open-World Action,"Xbox 360,PlayStation 3,PC",72.0,77.0,capcom vancouver,capcom
1337920,serial cleaners,2022-09-22,50000 - 100000,0,17,7.49,0,"['English', 'Polish']",True,False,False,0,328,96,24,293,0,524,0,Draw Distance,505 Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,50000,100000,2022,8814.0,serial cleaners,2022-09-22,M,Action Adventure,"PC,PlayStation 5,Xbox Series X",68.0,64.0,draw distance,505 games
7860,necrovision,2009-05-20,200000 - 500000,0,17,0.74,85,"['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Russian', 'Polish']",True,False,False,0,1181,554,0,268,0,119,0,The Farm 51,Fulqrum Publishing,"Single-player,Multi-player,Steam Cloud,Family Sharing",0.0,200000,500000,2009,10483.0,necrovision,2009-05-18,M,FPS,PC,63.0,62.0,the farm 51,"aspyr,1c entertainment,fulqrum publishing,505 games"
322630,mind zero,2016-03-08,0 - 20000,1,0,3.99,80,"['English', 'Japanese']",True,False,False,0,41,59,36,57,0,57,0,"ACQUIRE Corp.,Zerodiv",Aksys Games,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",0.0,0,20000,2016,11507.0,mind zero,2014-05-27,T,JRPG,PlayStation Vita,59.0,72.0,zerodiv,"aksys games,acquire,cyberfront"
200010,quantum conundrum,2012-06-21,200000 - 500000,2,0,0.98,89,"['English', 'Japanese']",True,False,False,0,1749,323,25,328,0,213,0,Airtight Games,Square Enix,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on TV,Family Sharing",0.0,200000,500000,2012,4681.0,quantum conundrum,2012-06-21,E,Puzzle,"Xbox 360,PlayStation 3,PC",77.0,72.0,airtight games,square enix
717640,reigns: her majesty,2017-12-06,100000 - 200000,5,0,0.98,0,[],True,True,True,0,1049,211,13,214,0,91,0,"Nerial,Synaptic Insight Technology Systems",Devolver Digital,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing",0.0,100000,200000,2017,2673.0,reigns: her majesty,2017-12-06,Unknown,Simulation,"PC,iOS (iPhone/iPad)",81.0,71.0,nerial,devolver digital
293780,crawl,2017-04-11,200000 - 500000,8,0,2.99,0,['English'],True,True,True,0,6673,366,45,278,76,153,76,Powerhoof,Powerhoof,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",0.0,200000,500000,2017,5320.0,crawl,2017-04-11,T,Action RPG,"Xbox One,Nintendo Switch",76.0,69.0,powerhoof,powerhoof
690640,trine 4: the nightmare prince,2019-10-08,1000000 - 2000000,76,0,5.99,80,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Turkish']",True,False,False,0,11924,1455,39,445,136,315,151,Frozenbyte,Frozenbyte,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",0.0,1000000,2000000,2019,3149.0,trine 4: the nightmare prince,2019-10-08,E10+,2D Platformer,"Nintendo Switch,PC,Xbox One,PlayStation 4",80.0,75.0,"frozenbyte, inc.","modus games,maximum games,3goo,frozenbyte, inc."
2966850,shotgun cop man,2025-05-01,0 - 20000,4,0,5.99,40,[],True,False,False,0,251,8,21,154,0,166,0,DeadToast Entertainment,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Family Sharing",0.0,0,20000,2025,3303.0,shotgun cop man,2025-05-01,Unknown,2D Platformer,"PC,Nintendo Switch",80.0,70.0,deadtoast entertainment,devolver digital
46790,armada 2526,2011-04-08,20000 - 50000,1,0,2.24,0,[],True,False,False,0,19,16,0,0,0,0,0,Ntronium Games,Iceberg Interactive,"Single-player,Multi-player,Shared/Split Screen,Remote Play Together,Family Sharing",0.0,20000,50000,2011,9710.0,armada 2526,2009-11-17,E10+,4X Strategy,PC,66.0,71.0,ntronium games,"tri synergy,strategy first,iceberg interactive"
63950,il-2 sturmovik: cliffs of dover,2011-07-19,100000 - 200000,1,0,0.0,0,[],True,False,False,0,668,334,0,861,0,168,0,1C: Maddox Games,Fulqrum Publishing,"Single-player,Multi-player,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Stats,Family Sharing",0.0,100000,200000,2011,11447.0,il-2 sturmovik: cliffs of dover,2011-04-26,T,Aircraft Combat Sim,PC,60.0,70.0,1c: maddox games,"ubisoft,e-frontier"
373930,sudden strike 4,2017-08-11,200000 - 500000,144,0,3.99,0,"['English', 'French', 'Italian', 'German', 'Russian', 'Spanish - Spain', 'Simplified Chinese', 'Japanese']",True,True,True,0,6094,1721,61,1015,0,159,0,Kite Games,Kalypso Media,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV,Family Sharing",0.0,200000,500000,2017,8237.0,sudden strike 4,2017-08-11,T,Real-Time Strategy,"PC,PlayStation 4",70.0,76.0,kite games,kalypso
1088850,marvel's guardians of the galaxy,2021-10-26,500000 - 1000000,219,0,8.99,85,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",True,False,False,0,36857,2301,59,726,200,483,245,Eidos-Montréal,Eidos Interactive Corp.,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,HDR available,Family Sharing",0.0,500000,1000000,2021,3056.0,marvel's guardians of the galaxy,2021-10-26,T,Linear Action Adventure,"PlayStation 5,PC,Xbox Series X,Nintendo Switch",80.0,84.0,eidos montreal,square enix
